ACCEPT_SESSION_ARBC,ACK_TAKEOVER_HRBC,APPLY_SUPERVISION_EVC,COORDINATE_MA_HRBC,DISPLAY_UPDATE_DMI,EMERGENCY_BRAKE_EVC,EVALUATE_FRONT_EVC,EVALUATE_REAR_EVC,EVALUATE_SESSION_REQ_ARBC,FORWARD_ANNOUNCEMENT_TO_ARBC_HRBC,PROCESS_COORDINATION_ARBC,PROCESS_MA_EVC,REJECT_SESSION_ARBC,REQ_SESSION_ARBC_RTM,RX_ARBC_GRANT_SUPERVISION_RTM,RX_HRBC_TERMINATION_ORDER_RTM,RX_HRBC_TRANSITION_ORDER_RTM,RX_POS_REPORT_ARBC,RX_POS_REPORT_HRBC,SESSION_ESTABLISHED_ARBC_RTM,SESSION_REJECTED_ARBC_RTM,TERMINATE_SESSION_HRBC_RTM,TX_GRANT_SUPERVISION_ARBC,TX_POS_REPORT_RTM,TX_TERMINATION_ORDER_HRBC,TX_TRANSITION_ORDER_HRBC,Fitness,Component
3,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.5454520661269722,ARBC
2,1,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0.5937481445370483,ARBC
4,0,0,0,0,0,0,1,1,0,3,0,1,0,1,1,0,1,1,0,0,1,4,1,1,0,0.499998809526644,ARBC
1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0.79069583559108,ARBC
3,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5454520661269722,ARBC
0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6363607438148009,ARBC
0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7407379972666768,ARBC
2,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.6562479492251587,ARBC
2,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,6,0,0,0,0,3,0,0,0,0.67999864000272,ARBC
1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6363607438148009,ARBC
0,0,0,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0.5454520661269722,ARBC
2,0,0,0,1,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0.5454520661269722,ARBC
0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0.6363607438148009,ARBC
3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,3,0,0,0,1,1,0,1,0,0.5937481445370483,ARBC
0,0,0,0,1,1,0,0,1,0,3,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0.5454520661269722,ARBC
2,1,1,0,1,0,0,0,2,1,1,0,1,0,2,1,0,6,0,0,0,1,2,0,1,0,0.4523798752860112,ARBC
1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,5,0,0,0,1,0,0,1,0,0.5937481445370483,ARBC
1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,1,4,0,0,0,0.6666650793688587,ARBC
1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0.7619029478501241,ARBC
1,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,0,5,1,0,0,1,1,1,1,0,0.5476177437672767,ARBC
1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0.7619029478501241,ARBC
3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0.7599984800030399,ARBC
1,1,0,0,0,0,0,0,3,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0.5937481445370483,ARBC
0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0.6363607438148009,ARBC
3,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0.5937481445370483,ARBC
1,1,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,1,1,0,1,0,0.5937481445370483,ARBC
2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0.71999856000288,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,1,0,0,1,5,0,1,0,0.6190461451282259,ARBC
4,1,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.5937481445370483,ARBC
0,0,0,0,1,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6363607438148009,ARBC
2,1,1,0,1,0,0,0,3,1,5,0,1,0,2,1,0,0,0,0,0,1,1,0,1,0,0.499998809526644,ARBC
3,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0.7450965782420034,ARBC
0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0.5454520661269722,ARBC
1,1,2,0,1,0,0,0,1,1,2,0,0,0,2,1,0,1,0,0,0,1,0,0,1,0,0.531248339848938,ARBC
2,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,0,2,0,0,0,1,3,0,0,0,0.6666650793688587,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,1,3,0,0,0,0.7142840136094915,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0.7441843158504282,ARBC
1,0,0,2,0,0,0,0,4,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0.5937481445370483,ARBC
2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,3,0,1,0,0.6666650793688587,ARBC
0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6363607438148009,ARBC
1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0.7450965782420034,ARBC
1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0.6956506616289965,ARBC
2,1,1,0,1,0,0,0,3,1,1,0,1,0,2,1,0,6,0,0,0,1,1,0,1,0,0.4523798752860112,ARBC
2,0,0,0,1,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5454520661269722,ARBC
2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0.755553876546941,ARBC
3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0.7916650173645472,ARBC
1,1,1,0,1,0,0,0,1,1,2,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0.5937481445370483,ARBC
2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0.7391288279808088,ARBC
2,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0.7272710743839219,ARBC
4,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0.71999856000288,ARBC
0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7499968750130208,ARBC
3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,3,1,0,0,1,2,1,1,0,0.6190461451282259,ARBC
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0.7307678254464895,ARBC
1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0.7692287968492388,ARBC
2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0.7619029478501241,ARBC
4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,5,1,0,0,1,2,1,1,0,0.5476177437672767,ARBC
4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,6,1,0,0,1,6,1,1,0,0.5384605029605712,ARBC
2,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,6,0,0,0,0,4,0,0,0,0.67999864000272,ARBC
1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0.7441843158504282,ARBC
2,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0.5937481445370483,ARBC
4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0.6666654970780753,ARBC
3,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5454520661269722,ARBC
1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0.5454520661269722,ARBC
2,1,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0.5937481445370483,ARBC
2,0,0,0,0,0,0,0,3,0,5,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0.67999864000272,ARBC
2,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0.5454520661269722,ARBC
1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0.5937481445370483,ARBC
1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,2,0,0,0,1,3,0,0,0,0.7142840136094915,ARBC
2,0,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0,3,1,0,0,1,4,1,1,0,0.5476177437672767,ARBC
2,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5454520661269722,ARBC
1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6363607438148009,ARBC
1,1,1,2,1,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,0,0.531248339848938,ARBC
0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8333298611255786,EVC
0,0,1,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8260851606844333,EVC
0,1,0,0,0,1,1,1,0,1,0,2,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0.5937481445370483,EVC
0,0,3,0,0,0,3,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.6428556122485423,EVC
0,0,0,0,0,0,3,1,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.6562479492251587,EVC
0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0.6562479492251587,EVC
0,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8372073553317319,EVC
0,0,0,0,2,1,1,0,1,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.45454338843914344,EVC
1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6363607438148009,EVC
0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0.6562479492251587,EVC
0,0,4,0,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7692292899436732,EVC
1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6363607438148009,EVC
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.7272694215026295,EVC
0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.6562479492251587,EVC
0,0,3,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7659558171152827,EVC
