ACCEPT_SESSION_ARBC,ACK_TAKEOVER_HRBC,APPLY_SUPERVISION_EVC,COORDINATE_MA_HRBC,DISPLAY_UPDATE_DMI,EMERGENCY_BRAKE_EVC,EVALUATE_FRONT_EVC,EVALUATE_REAR_EVC,EVALUATE_SESSION_REQ_ARBC,FORWARD_ANNOUNCEMENT_TO_ARBC_HRBC,PROCESS_COORDINATION_ARBC,PROCESS_MA_EVC,REJECT_SESSION_ARBC,REQ_SESSION_ARBC_RTM,RX_ARBC_GRANT_SUPERVISION_RTM,RX_HRBC_TERMINATION_ORDER_RTM,RX_HRBC_TRANSITION_ORDER_RTM,RX_POS_REPORT_ARBC,RX_POS_REPORT_HRBC,SESSION_ESTABLISHED_ARBC_RTM,SESSION_REJECTED_ARBC_RTM,TERMINATE_SESSION_HRBC_RTM,TX_GRANT_SUPERVISION_ARBC,TX_POS_REPORT_RTM,TX_TERMINATION_ORDER_HRBC,TX_TRANSITION_ORDER_HRBC,Fitness,Component
2,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,6,1,0,0,0,2,1,0,0,0.5609655562655792,ARBC
2,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0.6128928200463223,ARBC
1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6666603175207855,ARBC
0,0,0,2,0,1,0,0,4,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0.5384573964815655,ARBC
2,1,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0.6341359310442388,ARBC
0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8076784024738272,ARBC
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0.6666555556613747,ARBC
1,0,1,0,0,0,0,0,4,0,1,0,1,0,1,0,0,2,0,0,0,0,5,0,0,0,0.6734605164876878,ARBC
2,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7307559172621749,ARBC
1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0.71152803258449,ARBC
4,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6153760355689571,ARBC
1,1,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0.6774085328481751,ARBC
0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,2,1,0,0,0,3,1,0,0,0.7073063058228984,ARBC
1,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5714231293035305,ARBC
1,0,0,0,0,0,0,1,4,0,1,0,1,0,1,0,0,2,1,0,0,0,5,1,0,0,0.5609655562655792,ARBC
1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0.583324537085905,ARBC
0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,4,1,0,0,0.6521602079990956,ARBC
