Window,PD_Algorithm,Clustering_Algorithm,N_Clusters,Accuracy,V_Measure
5,ILP,BIRCH,10,0.77,0.54
5,ILP,BIRCH,30,0.89,0.52
5,ILP,BIRCH,50,0.91,0.49
5,ILP,HDBSCAN,Auto,0.88,0.61
5,ILP,K-Means,10,0.81,0.58
5,ILP,K-Means,30,0.89,0.52
5,ILP,K-Means,50,0.89,0.48
5,ILP,Spectral,10,0.59,0.46
5,ILP,Spectral,30,0.77,0.48
5,ILP,Spectral,50,0.83,0.46
5,ILP,WARD,10,0.8,0.57
5,ILP,WARD,30,0.91,0.52
5,ILP,WARD,50,0.93,0.49
5,IM,BIRCH,10,0.82,0.61
5,IM,BIRCH,30,0.91,0.54
5,IM,BIRCH,50,0.93,0.52
5,IM,HDBSCAN,Auto,0.89,0.58
5,IM,K-Means,10,0.87,0.6
5,IM,K-Means,30,0.92,0.54
5,IM,K-Means,50,0.91,0.49
5,IM,Spectral,10,0.45,0.34
5,IM,Spectral,30,0.78,0.45
5,IM,Spectral,50,0.85,0.48
5,IM,WARD,10,0.8,0.59
5,IM,WARD,30,0.9,0.55
5,IM,WARD,50,0.95,0.52
10,ILP,BIRCH,10,0.86,0.67
10,ILP,BIRCH,30,0.97,0.62
10,ILP,BIRCH,50,0.99,0.57
10,ILP,HDBSCAN,Auto,0.44,0.37
10,ILP,K-Means,10,0.91,0.69
10,ILP,K-Means,30,0.97,0.59
10,ILP,K-Means,50,0.96,0.56
10,ILP,Spectral,10,0.61,0.56
10,ILP,Spectral,30,0.86,0.56
10,ILP,Spectral,50,0.84,0.51
10,ILP,WARD,10,0.88,0.63
10,ILP,WARD,30,0.97,0.6
10,ILP,WARD,50,0.99,0.56
10,IM,BIRCH,10,0.82,0.63
10,IM,BIRCH,30,0.95,0.57
10,IM,BIRCH,50,0.96,0.55
10,IM,HDBSCAN,Auto,0.87,0.67
10,IM,K-Means,10,0.96,0.7
10,IM,K-Means,30,0.95,0.58
10,IM,K-Means,50,0.97,0.55
10,IM,Spectral,10,0.65,0.6
10,IM,Spectral,30,0.85,0.54
10,IM,Spectral,50,1.0,0.62
10,IM,WARD,10,0.92,0.7
10,IM,WARD,30,1.0,0.62
10,IM,WARD,50,1.0,0.58
15,ILP,BIRCH,10,1.0,0.78
15,ILP,BIRCH,30,1.0,0.65
15,ILP,BIRCH,50,1.0,0.63
15,ILP,HDBSCAN,Auto,0.95,0.78
15,ILP,K-Means,10,0.95,0.69
15,ILP,K-Means,30,0.98,0.63
15,ILP,K-Means,50,0.98,0.58
15,ILP,Spectral,10,0.96,0.79
15,ILP,Spectral,30,0.98,0.65
15,ILP,Spectral,50,1.0,0.63
15,ILP,WARD,10,1.0,0.77
15,ILP,WARD,30,1.0,0.64
15,ILP,WARD,50,1.0,0.6
15,IM,BIRCH,10,1.0,0.78
15,IM,BIRCH,30,1.0,0.63
15,IM,BIRCH,50,1.0,0.61
15,IM,HDBSCAN,Auto,0.48,0.5
15,IM,K-Means,10,0.95,0.68
15,IM,K-Means,30,0.96,0.6
15,IM,K-Means,50,1.0,0.6
15,IM,Spectral,10,1.0,0.86
15,IM,Spectral,30,0.98,0.68
15,IM,Spectral,50,1.0,0.63
15,IM,WARD,10,1.0,0.77
15,IM,WARD,30,0.98,0.63
15,IM,WARD,50,1.0,0.61
