ACCEPT_SESSION_ARBC,ACK_TAKEOVER_HRBC,APPLY_SUPERVISION_EVC,COORDINATE_MA_HRBC,DISPLAY_UPDATE_DMI,EMERGENCY_BRAKE_EVC,EVALUATE_FRONT_EVC,EVALUATE_REAR_EVC,EVALUATE_SESSION_REQ_ARBC,FORWARD_ANNOUNCEMENT_TO_ARBC_HRBC,PROCESS_COORDINATION_ARBC,PROCESS_MA_EVC,REJECT_SESSION_ARBC,REQ_SESSION_ARBC_RTM,RX_ARBC_GRANT_SUPERVISION_RTM,RX_HRBC_TERMINATION_ORDER_RTM,RX_HRBC_TRANSITION_ORDER_RTM,RX_POS_REPORT_ARBC,RX_POS_REPORT_HRBC,SESSION_ESTABLISHED_ARBC_RTM,SESSION_REJECTED_ARBC_RTM,TERMINATE_SESSION_HRBC_RTM,TX_GRANT_SUPERVISION_ARBC,TX_POS_REPORT_RTM,TX_TERMINATION_ORDER_HRBC,TX_TRANSITION_ORDER_HRBC,Fitness,Component
5,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.5185165980866737,ARBC
2,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,2,1,0,0,1,2,1,1,0,0.5675660336053145,ARBC
0,0,0,0,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0.47058546714431093,ARBC
2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0.7619029478501241,ARBC
4,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,5,1,0,0,1,1,1,1,0,0.5476177437672767,ARBC
5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0.5937481445370483,ARBC
2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0.5555534979500076,ARBC
3,0,1,0,0,0,0,1,3,0,2,0,0,0,1,1,0,2,1,0,0,1,3,1,1,0,0.499998809526644,ARBC
3,0,0,0,1,1,0,0,2,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5185165980866737,ARBC
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0.703701097403343,ARBC
0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0.6363607438148009,ARBC
2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0.7391288279808088,ARBC
1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0.7142840136094915,ARBC
